"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Anthony Bemboom","Rays","1","4","4","1","0","0","0","0","0","0","1","0","0","0",".206",".281",".301",".582",".259","0.0","0.0","0.0","13854"
"Cliff Pennington","Yankees","1","5","4","1","0","0","0","0","0","0","1","0","0","0",".201",".278",".301",".579",".259","-0.1","0.0","0.0","3395"
"Tomas Nido","Mets","29","122","115","25","5","0","3","11","12","5","28","1","0","0",".221",".255",".341",".597",".259","0.0","0.0","0.2","13755"
"Rajai Davis","Mets","13","53","48","10","2","0","1","6","3","3","13","1","4","1",".216",".269",".311",".580",".257","-0.1","0.3","-0.1","3708"
"Luke Maile","Blue Jays","19","78","70","14","3","0","1","7","7","6","20","1","0","0",".200",".264",".314",".578",".256","0.3","0.0","0.2","13355"
"Blake Trahan","Reds","2","10","9","2","0","0","0","1","1","1","2","0","0","0",".219",".281",".286",".567",".254","0.0","0.0","0.0","17588"
"Deven Marrero","Marlins","2","10","9","2","0","0","0","1","1","1","3","0","0","0",".206",".263",".306",".569",".252","0.0","0.0","0.0","13325"
"Eric Stamets","Indians","5","19","17","3","1","0","0","2","2","1","6","0","0","0",".192",".255",".306",".561",".249","0.2","0.0","0.0","13795"
"Nick Ciuffo","Rays","3","13","12","3","1","0","0","1","1","1","4","0","0","0",".208",".255",".310",".565",".248","0.0","0.0","0.0","16291"
"Jeff Mathis","Rangers","53","221","201","40","8","1","3","19","17","16","66","1","0","0",".199",".261",".293",".554",".246","1.7","-0.4","0.4","3448"
"Terrance Gore","Royals","10","43","39","8","1","0","0","4","2","3","11","0","4","1",".215",".274",".264",".539",".243","-0.2","0.4","-0.1","13658"
"Rocky Gale","Dodgers","3","13","12","3","0","0","0","1","1","1","3","0","0","0",".218",".258",".294",".552",".243","0.1","0.0","0.0","10533"
"Arquimedes Gamboa","Phillies","2","9","8","2","0","0","0","1","1","1","3","0","0","0",".189",".263",".268",".531",".240","0.0","0.0","0.0","sa877497"
