All Pitchers Year to Date MLB True Talent Categories,,,,,,,,,,,,,,,,,
Avail,Player,INN,GS,BFP,PC,W,S,K,BB,H,HR,ER,ERA,WHIP,Kd9,BBd9,Rank
W ,Dan Otero RP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jose Fernandez RP | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Zach Duke RP | SEA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Buddy Baumann RP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jacob Barnes RP | MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Michael Ynoa RP | KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Quintin Torres-Costa RP | MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,J.C. Sulbaran SP | STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Nickolas Sarianides P | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Corey Baker RP | STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Joel Payamps RP | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Steven Okert RP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Alex McRae RP | PIT ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Connor Sadzeck RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jose Ramirez RP | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Droitwich Murdercocks,Dellin Betances RP | NYY ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Justus Sheffield RP | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Justin Nicolino RP | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tyler Alexander SP | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Seth Romero SP | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kyle Finnegan RP | OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Collin Wiles RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Chandler Shepherd RP | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Ivan Nova SP | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
