Avail,Player,INN,GS,BFP,PC,W,S,K,BBI,HA,HRA,ER,ERA,WHIP,Kd9,BBd9,Rank
FA,Luis Escobar SP | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Corey Williams RP | MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Jimmy Reyes RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Joe Pistorese RP | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Joe Beimel RP | KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Jake Stinnett SP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Kodi Medeiros SP | MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Tyler Matzek SP | COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Phil Maton RP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Brad Markey RP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Jason Motte RP | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Brett Martin SP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Lucas Benenati RP | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Ryan Meisinger RP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Joan Gregorio SP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Robert Coello RP | NYY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Mark Zimmerman RP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Chris Leroux RP | TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Bus 3,David Price SP | BOS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Zach Lee RP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Sean O'Sullivan SP | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Nick Howard SP | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Francisco Mendoza RP | TEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Kevin McGowan RP | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Brad Goldberg RP | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Drew VerHagen RP | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Logan Shore SP | OAK ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Cory Gearrin RP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Maikel Cleto RP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Cory Taylor SP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Osmer Morales P | LAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Rex Brothers RP | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Jeanmar Gomez RP | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Brady Aiken SP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Anibal Sanchez SP | ATL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Jake Peavy SP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Miller Diaz SP | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Manny Banuelos SP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
