"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Hernan Perez","WSN","13","56","52","13","2","0","2","6","6","3","13","0","1","0",".247",".288",".398",".686",".290","-0.1","0.1","0.0","999.0","5751"
"Jake Noll","WSN","3","14","13","3","1","0","0","1","1","1","3","0","0","0",".248",".288",".369",".657",".280","0.0","0.0","0.0","999.0","19703"
"Jose Briceno","COL","10","38","36","8","1","0","1","4","4","2","10","0","1","0",".225",".269",".378",".647",".274","0.1","0.0","0.0","999.0","13151"
"Nick Heath","KCR","5","21","19","4","1","0","0","2","2","2","7","0","2","1",".208",".282",".298",".581",".257","0.1","0.0","0.0","999.0","19577"
"Rafael Ortega","CHC","8","35","31","8","2","0","1","4","3","3","7","0","1","0",".241",".310",".377",".687",".295","-0.1","0.0","0.0","999.0","10323"
"Monte Harrison","MIA","5","21","19","4","1","0","1","2","2","2","8","0","1","0",".207",".273",".341",".614",".266","0.0","0.1","0.0","599.0","17216"
"Ronald Guzman","TEX","100","434","386","91","18","2","16","49","51","39","122","5","3","1",".237",".313",".414",".727",".309","2.4","-0.4","0.0","582.4","14388"
"Harold Castro","DET","18","77","73","19","3","0","1","7","7","3","16","0","1","1",".266",".295",".356",".650",".279","-0.1","-0.1","0.0","599.8","14691"
"Bubba Starling","KCR","3","14","13","3","1","0","0","1","1","1","4","0","0","0",".218",".267",".331",".599",".258","-0.1","0.0","0.0","999.0","13356"
"Jose Marmolejos","SEA","19","84","77","19","4","0","3","9","10","6","21","0","0","0",".241",".295",".396",".691",".293","0.1","-0.1","0.0","598.3","15767"
"Braden Bishop","SEA","15","63","57","12","3","0","1","6","5","5","16","1","1","0",".218",".285",".324",".609",".266","0.3","0.0","0.0","999.0","17806"
"Pablo Sandoval","ATL","5","21","19","5","1","0","1","2","3","1","5","0","0","0",".242",".298",".412",".710",".299","0.0","0.0","0.0","599.5","5409"
"Brian Goodwin","PIT","44","189","168","39","10","1","6","21","20","17","56","2","4","1",".231",".305",".409",".714",".302","-0.7","0.0","0.0","599.2","12858"
"Keon Broxton","MIN","6","28","25","5","1","0","1","3","3","3","12","0","1","0",".188",".266",".331",".596",".259","0.0","0.0","0.0","999.0","9253"
"Jason Vosler","SFG","10","42","38","8","2","0","1","4","4","3","12","0","0","0",".219",".289",".369",".658",".282","0.0","0.0","0.0","999.0","sa829190"
"Beau Taylor","CLE","16","64","56","11","2","0","1","6","5","7","20","1","0","0",".193",".288",".296",".584",".260","-0.3","-0.1","0.0","999.0","12384"
"Luis Barrera","OAK","11","49","46","11","2","1","1","5","4","3","11","0","1","1",".238",".282",".354",".637",".272","0.1","-0.1","-0.1","999.0","sa736690"
"Sam Haggerty","SEA","19","84","74","16","4","1","1","9","6","8","26","1","4","1",".214",".300",".323",".623",".274","-0.6","0.2","-0.1","600.9","18054"
"Ryan McBroom","KCR","28","119","108","26","5","0","4","13","13","8","33","1","0","0",".241",".301",".406",".707",".299","0.1","-0.2","-0.1","599.5","16524"
"Edwin Encarnacion","","40","175","153","33","5","0","9","22","27","18","46","3","0","0",".213",".305",".437",".742",".314","0.0","-0.5","-0.1","594.2","2151"
"Joshua Palacios","TOR","11","49","44","10","2","0","1","5","5","4","13","0","1","1",".225",".294",".342",".636",".276","0.1","-0.1","-0.1","999.0","sa829562"
"Neil Walker","","13","56","50","11","2","0","1","6","6","5","13","1","0","0",".232",".311",".363",".674",".292","-0.6","-0.1","-0.1","999.0","7539"
"Steven Duggar","SFG","16","70","63","15","3","0","1","7","7","6","21","0","1","1",".232",".297",".352",".648",".280","-0.3","-0.1","-0.1","999.0","17719"
"Jon Jay","LAA","8","35","32","8","1","0","0","4","3","2","7","1","0","0",".248",".304",".328",".632",".277","-0.1","0.0","-0.1","999.0","5227"
"Lane Thomas","STL","34","147","132","30","6","1","4","16","16","12","41","1","3","2",".225",".293",".383",".675",".289","0.3","-0.3","-0.1","595.9","16939"
"Stuart Fairchild","ARI","10","42","38","9","2","0","1","4","4","3","11","1","1","0",".226",".295",".350",".645",".279","-0.1","-0.1","-0.1","999.0","sa829822"
"Matt Kemp","","36","154","140","35","6","0","6","17","23","11","41","1","1","0",".252",".308",".434",".742",".311","0.0","-0.2","-0.1","999.0","5631"
"Richie Martin Jr.","BAL","23","98","89","20","4","1","2","10","8","6","23","1","3","1",".220",".277",".335",".611",".264","-0.2","0.0","-0.1","601.0","17736"
"Edmundo Sosa","STL","18","77","72","17","3","0","2","8","7","3","16","1","1","0",".243",".284",".364",".648",".276","0.1","-0.1","-0.1","999.0","17022"
"Dexter Fowler","LAA","99","427","370","83","16","1","13","50","51","47","115","5","5","3",".223",".317",".380",".697",".302","-3.9","-0.1","-0.1","588.9","4062"
"Harold Ramirez","CLE","16","70","65","17","3","0","2","8","7","3","15","1","1","0",".258",".303",".388",".691",".294","-0.4","0.0","-0.1","999.0","14387"
"Ildemaro Vargas","CHC","24","105","98","26","5","1","2","11","10","5","12","1","1","0",".266",".303",".387",".690",".294","0.0","-0.1","-0.1","999.0","13324"
"Matt Wieters","","24","96","86","18","3","0","3","9","11","8","23","1","1","0",".214",".284",".346",".629",".272","0.1","-0.2","-0.1","999.0","4298"
"Adam Engel","CHW","76","329","301","69","14","2","8","35","33","18","93","6","7","3",".229",".285",".370",".655",".281","1.8","0.3","-0.1","597.2","15082"
"Ronnie Dawson","HOU","6","28","25","5","1","0","1","3","3","2","9","0","1","0",".201",".272",".342",".615",".265","-0.2","-0.1","-0.1","999.0","sa873674"
"Micker Adolfo","CHW","6","28","25","5","1","0","1","3","3","2","11","0","0","0",".200",".277",".346",".623",".270","-0.2","-0.1","-0.1","999.0","sa830303"
"Logan Forsythe","","23","98","85","18","4","0","2","10","8","11","26","1","1","0",".214",".308",".321",".630",".279","-0.3","0.0","-0.1","999.0","7185"
"Scott Heineman","CIN","13","56","51","12","2","0","2","6","6","4","14","1","1","1",".236",".297",".385",".682",".292","0.0","0.0","-0.1","999.0","14453"
"Edward Olivares","KCR","36","154","143","35","6","1","4","16","16","8","33","2","4","2",".247",".292",".382",".674",".287","-0.1","-0.2","-0.1","582.6","19698"
"Drew Butera","TEX","8","32","28","6","1","0","1","3","3","3","9","0","0","0",".197",".269",".310",".579",".252","0.0","0.0","-0.1","999.0","3411"
"Evan White","SEA","141","609","553","123","21","2","24","66","76","46","191","5","4","3",".223",".287",".399",".686",".291","2.7","-0.5","-0.1","498.2","20078"
"Luis Garcia","WSN","66","287","272","72","12","1","5","30","29","11","53","1","4","2",".266",".295",".378",".673",".287","-0.3","-0.3","-0.1","587.6","20391"
"Jose Rojas","LAA","28","119","110","25","5","1","4","13","14","8","32","1","1","1",".230",".281",".397",".678",".286","-0.4","-0.2","-0.1","999.0","sa918928"
"Justin Williams","STL","53","231","210","51","9","1","7","25","26","16","58","2","2","1",".244",".302",".393",".695",".296","0.1","-0.1","-0.1","999.0","15490"
"Zach McKinstry","LAD","26","112","102","24","5","1","3","12","12","8","28","1","1","1",".234",".296",".373",".669",".287","-0.1","-0.3","-0.1","600.2","19392"
"Heliot Ramos","SFG","36","154","140","32","6","1","4","16","16","11","47","2","2","3",".232",".294",".381",".675",".288","-1.1","-0.8","-0.1","999.0","sa3004693"
"Daz Cameron","DET","16","70","63","14","3","1","1","7","7","5","20","1","2","1",".220",".290",".357",".648",".280","-0.2","0.0","-0.1","600.7","18353"
"Mike Freeman","CIN","29","126","112","26","4","0","2","13","11","10","34","1","1","1",".230",".300",".328",".628",".274","0.2","-0.1","-0.1","999.0","11241"
"Jose Siri","HOU","15","63","58","12","2","0","2","6","6","4","23","0","2","1",".203",".256",".334",".590",".253","0.1","0.1","-0.1","999.0","sa736940"
"Albert Almora Jr.","NYM","39","168","155","37","7","1","4","18","17","10","32","1","1","1",".241",".289",".373",".662",".281","-0.4","-0.1","-0.1","600.6","14109"
"Matt Adams","","13","56","51","11","2","0","3","6","10","4","18","0","0","0",".220",".277",".425",".702",".293","0.0","-0.1","-0.1","999.0","9393"
"Kyle Garlick","MIN","19","84","77","17","4","0","3","9","11","5","28","1","0","0",".218",".272",".399",".672",".282","-0.2","0.0","-0.1","999.0","18063"
"Jeffrey Bleday","MIA","8","35","33","7","1","0","1","3","3","2","9","0","0","0",".209",".259",".327",".586",".253","0.0","0.0","-0.1","999.0","sa3011642"
"Ehire Adrianza","ATL","23","98","87","21","5","1","2","11","9","8","20","1","1","1",".242",".311",".361",".671",".290","-0.4","-0.1","-0.1","600.0","8418"
"Rodolfo Castro","","10","42","39","8","2","0","1","4","4","2","12","0","0","0",".208",".253",".331",".584",".248","0.0","-0.1","-0.1","999.0","sa917362"
"Bret Boswell","COL","11","49","45","10","2","0","2","5","5","3","15","0","1","1",".230",".282",".389",".671",".284","0.2","-0.1","-0.1","999.0","sa918769"
"Juan Lagares","LAA","26","112","102","24","5","1","2","13","10","7","26","1","2","1",".234",".290",".337",".627",".269","0.8","0.0","-0.1","999.0","5384"
"Gregory Polanco","PIT","113","490","437","97","23","2","19","54","62","45","140","3","9","3",".222",".296",".417",".713",".300","-1.6","0.2","-0.1","425.7","12907"
"Gerardo Parra","WSN","15","63","57","14","3","0","1","6","7","4","14","1","1","0",".237",".298",".365",".662",".283","0.0","-0.1","-0.1","999.0","8553"
"Lewin Diaz","MIA","18","77","72","16","3","0","3","8","9","4","18","1","0","0",".228",".270",".398",".669",".279","0.3","-0.1","-0.1","999.0","18365"
"Jared Oliva","","18","77","70","16","3","1","1","8","7","5","19","1","3","1",".233",".295",".346",".641",".277","0.0","0.1","-0.1","999.0","19968"
"Roman Quinn","PHI","31","133","120","27","4","2","3","15","12","9","40","1","9","2",".228",".291",".356",".647",".279","-0.7","0.9","-0.1","564.9","13546"
